trimestre;act_total;act_circ;act_efectivo;act_clientes;act_cc_fin;act_cc_no_fin;act_inventarios;act_bonos_cp;act_derivados;act_otros_circ;act_no_circ;act_inv_perm;act_ppye;act_doc_cob_lp;act_imp_dif;act_intangibles;act_otros;act_bonos_lp;act_der_uso;pas_total;pas_cp;pas_deuda_cp;pas_prov;pas_imp_cp;pas_acum;pas_derivados;pas_arr_cp;pas_lp;pas_deuda_lp;pas_benef_emp;pas_prov_div;pas_otros;pas_imp_dif;pas_arr_lp;pat_total;pat_ctrl;pat_cert_a;pat_aport_gob;pat_res_legal;pat_res_acum;pat_def_acum;pat_def_ant;pat_res_neta;pat_no_ctrl;pas_pat_total;prod_hidro_tot;prod_liquidos;prod_crudo;prod_pemex;prod_socios;prod_condensados;prod_gas_nat;prod_gas_pemex;prod_gas_socios;prod_gas_seco_planta;prod_liq_gas;prod_petroliferos;prod_gas_seco;prod_petroliferos_2;prod_gasolina;prod_combustoleo;prod_diesel;prod_glp;prod_turbosina;prod_otros;prod_petroquim;kpi_costo_ventas_ratio;kpi_op_margin;kpi_tax_ratio;kpi_ebitda_int;kpi_ebitda_ventas;res_ing_total;res_ventas_mex;res_ventas_exp;res_servicios;res_deterioro_ppye;res_costo_ventas;res_util_bruta;res_otros_ing;res_otros_gast;res_gast_dist;res_gast_admin;res_util_op;res_costo_fin;res_ing_fin;res_derivados;res_fx;res_asociadas;res_uai;res_imp_total;res_derechos;res_imp_corr;res_imp_dif;res_util_neta;res_ori;res_actuarial;res_fx_conv;res_util_integral
T3-2023;      2,204,832;496476.00;70707.00;125631.00;43822.00;81779.00;125191.00;35649.00;8561.00;5136.00;       1,708,356;1915.00;          1,366,101;1284.00;205.47;26131.00;17154.00;42889.00;47411.00;       3,784,314;        1,105,325;553891.00;297078.00;126278.00;86758.00;33397.00;7924.00;      2,678,989;         1,310,887;           1,214,351;94358.00;14115.00;6651.00;38627.00;     (1,579,483);      (1,579,293);          1,132,263;66731.00;1002.00;135251.00;       (2,914,539);       (2,917,596);3057.00;-189.00;      2,204,832;2.64;1.88;1.86;1.85;6.00;21.00;4.95;4.89;63.00;1.91;154.00;787.00;1.30;1.34;662.00;78.00;305.00;161.00;89.00;47.00;445.00;79.7%;6.9%;5.4%;                   2.7;0.21;461.81;253.55;207.53;728.00;8.11;368.02;85.68;2.94;15.29;1.13;40.53;31.66;-36.51;7.51;-9.44;-47.79;168.00;-54.40;24.74;69.58;731.00;-45.57;-79.13;135.90;125.48;10.42;56.77
T4-2023;      2,395,847;547056.00;68907.00;112257.00;44834.00;165307.00;113.59;28637.00;9926.00;3598.00;       1,848,791;1818.00;          1,510,933;1180.00;225151.00;20351.00;10.62;35495.00;43243.00;       3,949,331;         1,121,243;477423.00;359.76;150219.00;89062.00;36495.00;8284.00;      2,828,088;         1,317,249;         1,372,459;85023.00;13075.00;6653.00;33629.00;     (1,553,484);      (1,553,279);         1,196,207;66731.00;1002.00;-9616.00;     (2,807,603);       (2,917,596);109993.00;-205.00;      2,395,847;2.61;1.86;0.00;1.84;21.00;8.00;4.88;4.81;66.00;1.90;164.00;738.00;1.24;1.34;669.00;74.00;283.00;186.00;92.00;39.00;620.00;89.5%;17.7%;-1.6%;                  1.6;0.15;425.53;233.90;190.77;865.00;-84.70;380.73;129.50;3.72;-669.00;6.33;52.07;75.49;-40.51;2.48;7.32;55.34;49.00;100.18;-6.75;-158.00;1.17;-7.76;106.92;-144.87;-130.68;-14.18;-37.95
T1-2022;        2,142,185;526291.00;48286.00;136801.00;34.13;139165.00;125674.00;28914.00;10651.00;2.67;        1,615,893;2180.00;         1,320,554;1570.00;88618.00;22611.00;45331.00;82163.00;52867.00;        4,117,534;934451.00;532056.00;270538.00;71759.00;37383.00;13916.00;8799.00;       3,183,083;         1,629,522;        1,398,822;93413.00;10.12;3258.00;47948.00;     (1,975,349);      (1,975,295);909223.00;66731.00;1002.00;-56918.00;      (2,895,332);      (3,018,008);122676.00;-55.00;        2,142,185;2.52;1.78;1.76;1.76;7.00;20.00;4.71;4.64;74.00;2.28;174.00;839.00;1.09;1.20;622.00;59.00;241.00;164.00;84.00;33.00;610.00;64.2%;36.4%;19.6%;                         7.0;0.41;506.80;253.65;250.95;2.19;-16.34;325.45;197.69;30.27;2.18;3.31;0.00;184.45;-29.51;13.01;-7.75;61.80;0.00;222.07;99.58;95.56;360.00;3.66;122.49;-18.78;0.00;-18.78;103.71
T2-2022;  2,376,264;667462.00;64932.00;15999.00;43426.00;169828.00;188279.00;29.01;9771.00;2226.00;   1,708,802;2128.00;     1,406,321;1493.00;85847.00;27048.00;51992.00;82267.00;51706.00;   4,045,941;901031.00;421304.00;274454.00;124148.00;49213.00;25011.00;6899.00;     3,144,911;    1,738,894;    1,244,463;95437.00;15207.00;3254.00;47655.00; (1,669,677); (1,669,536);931723.00;66731.00;1002.00;101098.00;   (2,770,091);  (3,018,008);247917.00;-141.00;  2,376,264;2.53;1.79;0.00;1.77;20.00;16.00;4.73;4.66;71.00;2.25;150.00;805.00;1.16;1.40;710.00;74.00;339.00;143.00;89.00;42.00;491.00;72.2%;39.3%;16.0%;            7.5;0.40;655.25;334.39;319.78;1.08;-47.79;473.35;229.69;68.86;1.26;3.41;36.49;257.39;-34.74;4.29;-16.76;19.65;97.00;229.93;104.77;111.75;1.90;-8.87;125.16;158.02;158.39;-376.00;283.17
T3-2022;   2,316,379;571001.00;62271.00;130514.00;34473.00;124315.00;170788.00;32126.00;10499.00;6014.00;   1,745,378;2108.00;      1,451,532;1414.00;83372.00;31466.00;44387.00;79596.00;51503.00;   3,914,995;892452.00;420323.00;262655.00;91.97;70463.00;39711.00;7.33;   3,022,542;     1,712,490;      1,148,731;98.16;12184.00;3296.00;47681.00;  (1,598,615); (1,598,445);949276.00;66731.00;1002.00;206641.00; (2,822,094);  (3,018,008);195914.00;-171.00;   2,316,379;2.54;1.80;1.78;1.76;13.00;20.00;4.80;4.72;80.00;2.28;167.00;802.00;1.15;1.36;685.00;70.00;325.00;158.00;87.00;31.00;574.00;79.0%;19.3%;17.3%;                   3.8;0.29;630.82;320.78;28.67;280.08;1.29;7.25;475.94;147.62;12.73;2.26;37.76;116.07;-45.54;3.65;-12.98;-9.34;0.00;51.93;103.96;106.84;1.52;-4.40;-52.03;105.54;101.38;4.16;53.51
T4-2022;    2,174,050;528658.00;64402.00;11093.00;45211.00;121175.00;124006.00;46831.00;12756.00;3347.00;    1,645,392;2023.00;      1,365,397;1334.00;96747.00;35489.00;30028.00;65229.00;49145.00;    4,014,891;920388.00;465948.00;284084.00;69603.00;70648.00;22242.00;7864.00;   3,094,503;       1,625,516;     1,306,866;92634.00;23723.00;2126.00;43638.00; (1,840,840);   (1,840,514);     1,029,592;66731.00;1002.00;56669.00;  (2,994,508);   (3,018,008);23.5;-327.00;    2,174,050;2.53;1.81;0.00;1.76;21.00;10.00;4.83;4.75;0.00;2.23;152.00;850.00;1.08;1.34;664.00;69.00;311.00;173.00;91.00;27.00;585.00;83.1%;-23.0%;15.7%;1.80;0.18;519.26;289.31;223.48;1.32;146.67;431.46;-58.87;4.03;18.04;4.54;41.88;-119.30;-51.94;8.04;14.63;57.58;95.00;-90.90;81.67;84.39;1.42;-4.14;-172.57;-149.98;-136.39;-13.59;-322.54
T1-2021;  2,029,188;365155.00;41412.00;79124.00;139714.00;0.00;65527.00;17.49;19177.00;2711.00;  1,664,033;10405.00;   1,320,688;106183.00;872.00;21.56;34187.00;111626.00;58463.00;   4,151,779;831003.00;475052.00;261997.00;44518.00;32912.00;8408.00;8116.00;  3,320,776;   1,873,008;   1,284,882;99448.00;4.74;2944.00;55754.00;  (2,122,591);  (2,122,901);587993.00;43731.00;1002.00;5146.00; (2,760,773); (2,723,476);-37297.00;310.00;  2,029,188;2.52;1.78;1.76;4.64;74.00;7.00;4.71;4.64;74.00;2.28;174.00;839.00;1.09;1.20;622.00;59.00;241.00;164.00;84.00;33.00;610.00;64.2%;36.4%;19.6%;0.07;0.41;509.80;253.65;250.95;2.19;-16.34;325.45;197.69;30.27;2.18;3.31;38.01;184.45;-29.51;13.01;-7.75;61.80;64.00;122.49;99.58;95.56;360.00;3.66;122.49;-18.78;0.00;-18.78;103.71
T2-2021;   2,037,020;411.18;41536.00;97935.00;39739.00;112743.00;83142.00;15973.00;18625.00;1486.00;   1,625,840;8617.00;      1,303,451;859.00;85128.00;23004.00;37027.00;110784.00;56971.00;    4,110,280;872578.00;503055.00;254835.00;64056.00;34034.00;8402.00;8197.00;    3,237,701;    1,776,848;     1,302,070;96647.00;6567.00;2.57;52999.00; (2,073,260);   (2,073,521);638105.00;43731.00;1002.00;-9998.00;    (2,746,361);   (2,723,476);-22885.00;261.00;   2,037,020;2.53;1.79;0.00;1.77;20.00;16.00;4.73;4.66;71.00;2.25;150.00;805.00;1.16;1.40;710.00;74.00;339.00;143.00;89.00;42.00;491.00;72.2%;39.3%;16.0%;            7.5;0.40;655.25;334.39;319.78;1.08;-47.79;473.35;229.69;68.86;1.26;3.41;36.49;257.39;-34.74;4.29;-16.76;19.65;97.00;229.93;104.77;111.75;1.90;-8.87;125.16;158.02;158.39;-376.00;283.17
T3-2021;    2,051,739;415923.00;39641.00;100732.00;36276.00;120973.00;84168.00;15.86;12618.00;5657.00;     1,635,816;8649.00;       1,313,929;846.00;86334.00;18578.00;40329.00;110752.00;56399.00;    4,142,405;833723.00;468639.00;227409.00;81278.00;37443.00;11726.00;7227.00;   3,308,682;     1,826,843;         1,316,711;101.82;7434.00;2747.00;53127.00; (2,090,667); (2,090,893);692781.00;43731.00;1002.00;-4837.00;   (2,823,570);   (2,723,476);-100094.00;227.00;    2,051,739;2.44;1.75;0.00;1.73;20.00;15.00;4.85;4.77;78.00;2.10;176.00;769.00;1.17;1.06;539.00;91.00;201.00;152.00;45.00;34.00;646.00;68.8%;35.1%;16.9%;                     3.0;0.34;317.55;167.64;148.97;948.00;-46.63;218.45;145.73;2.54;217.00;3.10;33.55;111.41;-37.05;10.32;-9.93;-56.60;-1.84;16.30;53.66;61.22;1.01;-8.57;-37.36;256.43;249.33;7.10;219.07
T4-2021;   2,105,838;456903.00;76496.00;104144.00;42305.00;131511.00;86387.00;110855.00;12474.00;3586.00;   1,648,935;8936.00;     1,327,860;1646.00;86154.00;20016.00;39253.00;110855.00;54215.00;   4,206,313;911937.00;486333.00;265831.00;106227.00;32019.00;13636.00;7891.00;   3,294,375;      1,757,412;    1,384,067;92103.00;6379.00;3.03;51384.00;  (2,100,475); (2,100,648);841286.00;43731.00;1002.00;-39.03;  (2,947,636);  (2,723,476);-224.16;173.00;   2,105,838;2.47;1.77;0.00;1.75;22.00;15.00;4.71;4.63;77.00;1.99;176.00;659.00;1.20;1.10;570.00;90.00;212.00;140.00;58.00;34.00;520.00;70.6%;15.1%;23.6%;              3.4;0.37;347.44;176.69;169.63;1.12;14.44;245.39;87.61;2.94;739.00;3.82;33.70;52.30;-37.11;4.90;-2.43;80.20;-1.37;96.49;82.13;74.34;-448.00;8.24;14.36;-15.15;-7.79;-7.35;-781.00
